framework_id,name,category,kind,authority,ingest_method,anchor,notes
nist_csf,NIST Cybersecurity Framework,Federal Cyber,control_catalog,NIST,csv,1,Functions/Categories/Subcategories; current version 2.0; primary crosswalk hub alongside 800-53
nist_800_53,NIST SP 800-53,Federal Cyber,control_catalog,NIST,oscal,1,Primary control catalog and crosswalk hub; current loaded revision Rev 5 (1196 controls)
nist_800_53a,NIST SP 800-53A,Federal Cyber,control_catalog,NIST,oscal,0,Assessment procedures for 800-53 controls; basis for test-plan/SAP generation
nist_800_53b,NIST SP 800-53B,Federal Cyber,guidance_reference,NIST,oscal,0,Control baselines (Low/Mod/High profiles over 800-53); drives Categorize-Select
fips_199,FIPS 199,Federal Cyber,guidance_reference,NIST,reference,0,Security categorization (CIA impact levels); input to the CIA-triad button
fips_200,FIPS 200,Federal Cyber,guidance_reference,NIST,reference,0,Minimum security requirements; high-water-mark baseline selection
nist_800_37,NIST SP 800-37 (RMF),Federal Cyber,process_lifecycle,NIST,reference,0,The 7-step RMF process; see rmf framework
nist_800_30,NIST SP 800-30 (Risk Assessment),Federal Cyber,risk_methodology,NIST,reference,0,Risk assessment methodology
nist_800_39,NIST SP 800-39,Federal Cyber,risk_methodology,NIST,reference,0,Org-wide risk management
nist_800_40,NIST SP 800-40 (Patch Management),Federal Cyber,guidance_reference,NIST,reference,0,
nist_800_41,NIST SP 800-41 (Firewalls),Federal Cyber,guidance_reference,NIST,reference,0,
nist_800_50,NIST SP 800-50 (Security Awareness),Federal Cyber,guidance_reference,NIST,reference,0,
nist_800_61,NIST SP 800-61 Rev 2 (Incident Response),Federal Cyber,process_lifecycle,NIST,reference,0,IR lifecycle
nist_800_63,NIST SP 800-63 (Digital Identity),Federal Cyber,technical_standard,NIST,reference,0,IAL/AAL/FAL assurance levels
nist_800_88,NIST SP 800-88 Rev 1 (Media Sanitization),Federal Cyber,guidance_reference,NIST,reference,0,
nist_800_115,NIST SP 800-115 (Security Testing),Federal Cyber,guidance_reference,NIST,reference,0,
nist_800_122,NIST SP 800-122 (PII Protection),Federal Cyber,guidance_reference,NIST,reference,0,
nist_800_137,NIST SP 800-137 (Continuous Monitoring),Federal Cyber,process_lifecycle,NIST,reference,0,ISCM strategy
nist_800_145,NIST SP 800-145 (Cloud Computing),Federal Cyber,guidance_reference,NIST,reference,0,Cloud definitions
nist_800_160_v1,NIST SP 800-160 Vol 1 (Systems Security Engineering),Federal Cyber,guidance_reference,NIST,reference,0,
nist_800_160_v2,NIST SP 800-160 Vol 2 (Cyber Resiliency),Federal Cyber,guidance_reference,NIST,reference,0,
nist_800_171,NIST SP 800-171,Federal Cyber,control_catalog,NIST,csv,0,CUI protection; current revision Rev 3; basis for CMMC
